UTC;Longitude
UTC 0 Greenwich London, Lisbon, Abidjan;0
UTC -1 Azores, Cabo Verde;-15
UTC -2 ;-30
UTC-3 Greenland, Brasilia, Buenos Aires;-45
UTC-4 Santiago, Caracas, La Paz;-60
UTC-5 Montreal, New York, Lima, Havana;-75
UTC-6, Chicago, Mexico, Dallas;-90
UTC-7, Denver, Edmonton;-105
UTC-8, Los Angeles, Vancouver;-120
UTC-9 Alaska;-135
UTC-10, French Polynesia, Hawai;-150
UTC-11 Tonga;-165
UTC-12 / + 12 Auckland, Fiji, Marchall Islands;180
UTC + 11 New Caledonia, Solomon Island;165
UTC +10 Sydney, Melbourne;150
UTC + 9 Tokyo, Seoul, Center Australia;135
UTC +8 Beijing, Hong Kong, West Australia;120
UTC + 7 Thailand, Vietnam, ;105
UTC + 6 Nur-Sultan, Banladesh;90
UTC + 5 Ouzbekistan, Pakistan, New Dehli;75
UTC + 4 Teheran, Oman;60
UTC + 3 Moscou, Istanbul, Nairobi;45
UTC + 2 Kiev, Le Caire, Le Cap;30
UTC + 1 Berlin, Paris, Madrid, Alger;15
