ID;name;french_name;color;rugosity_age;FixedTemp[degC];alb;alb_source;em;em_source;Cv;Cv_source;lambd;lambd_source;ep;kc;CR;CR_source;CBS;CBS_source;Artificial;database_version;comments
AS1;Asphalt with stone aggregate;Asphalte;Black/grey;new;0;0.05;"Mona Hammami (""Ville blanche"") 
Indicateurs pour l'analyse de la contribution d'un projet urbain à l'îlot de chaleur, 2010, Khaled 
Guide de recommendation pour lutter contre l'effet d'îlot de chaleur urbain à destination des collectivités territoriales, 2012, Ademe, Ile de France";0.95;"Quantifying how landscape composition and configuration affect urban land surface temperatures using machine learning and neutral landscapes, 2019, Osborne Alvares-Sanches

Table of Emissivity of various surfaces, Transmetra";2251000;;0.74;Indicateurs pour l'analyse de la contribution d'un projet urbain à l'îlot de chaleur, 2010, Khaled;0.2;0;0.95;Wiki Egis;0;ADEME & Berlin city (+tree correction);1;2;
AS2;Asphalt with stone aggregate;Asphalte;Grey/white;new;0;0.4;Variante du matériau;0.95;"Quantifying how landscape composition and configuration affect urban land surface temperatures using machine learning and neutral landscapes, 2019, Osborne Alvares-Sanches

Table of Emissivity of various surfaces, Transmetra";2214000;;0.74;Indicateurs pour l'analyse de la contribution d'un projet urbain à l'îlot de chaleur, 2010, Khaled;0.2;0;0.95;Wiki Egis;0;ADEME & Berlin city (+tree correction);1;2;
AS3;Asphalt with stone aggregate;Asphalte;Grey;rough/used;0;0.38;Guide de recommendation pour lutter contre l'effet d'îlot de chaleur urbain à destination des collectivités territoriales, 2012, Ademe, Ile de France ;0.95;"Quantifying how landscape composition and configuration affect urban land surface temperatures using machine learning and neutral landscapes, 2019, Osborne Alvares-Sanches

Table of Emissivity of various surfaces, Transmetra

Part principe que l'émissivité est la même";2348300;;0.74;Indicateurs pour l'analyse de la contribution d'un projet urbain à l'îlot de chaleur, 2010, Khaled;0.2;0;0.95;Wiki Egis;0;ADEME & Berlin city (+tree correction);1;2;
CC1;Cavernous Concrete;Béton caverneux;Grey;rough;0;0.3;"Anthony Vajou 

Indicateurs pour l'analyse de la contribution d'un projet urbain à l'îlot de chaleur, 2010, Khaled";0.94;"Quantifying how landscape composition and configuration affect urban land surface temperatures using machine learning and neutral landscapes, 2019, Osborne Alvares-Sanches

Table of Emissivity of various surfaces, Transmetra";1729000;;2;"Basé sur  béton armé Masse Volumique et conductivité thermique des principaux matériaux de construction, Espace pour Ingenieur (EPI.com) /
Indicateurs pour l'analyse de la contribution d'un projet urbain à l'îlot de chaleur, 2010, Khaled";0.2;0;0.7;Wiki Egis;0;ADEME & Berlin city (+tree correction);1;2;
CC2;Swept finish concrete;Béton finition balayée beige;Beige;;0;0.4;Variante du matériau;0.94;"Quantifying how landscape composition and configuration affect urban land surface temperatures using machine learning and neutral landscapes, 2019, Osborne Alvares-Sanches

Table of Emissivity of various surfaces, Transmetra";2083000;Cenk Tezimel, 2003 _ sciencedirect.com;2;Basé sur dalle béton Masse Volumique et conductivité thermique des principaux matériaux de construction, Espace pour Ingenieur (EPI.com);0.2;0;0.95;Wiki Egis;0;ADEME & Berlin city (+tree correction);1;2;
CC3;Swept finish concrete;Béton finition balayée gris clair;Grey/white;;0;0.45;Variante du matériau;0.94;"Quantifying how landscape composition and configuration affect urban land surface temperatures using machine learning and neutral landscapes, 2019, Osborne Alvares-Sanches

Table of Emissivity of various surfaces, Transmetra";2083000;Cenk Tezimel, 2003 _ sciencedirect.com;2;Basé sur dalle béton Masse Volumique et conductivité thermique des principaux matériaux de construction, Espace pour Ingenieur (EPI.com);0.2;0;0.95;Wiki Egis;0;ADEME & Berlin city (+tree correction);1;2;
CC4;Desactivated concrete;Béton désactivé ;Grey/dark;;0;0.2;Anthony Vajou ;0.94;"Quantifying how landscape composition and configuration affect urban land surface temperatures using machine learning and neutral landscapes, 2019, Osborne Alvares-Sanches

Table of Emissivity of various surfaces, Transmetra";2083000;Cenk Tezimel, 2003 _ sciencedirect.com;2;Basé sur dalle béton Masse Volumique et conductivité thermique des principaux matériaux de construction, Espace pour Ingenieur (EPI.com);0.2;0;0.95;Wiki Egis;0;ADEME & Berlin city (+tree correction);1;2;
CC5;Bitominous mix;Enrobé bitumineux noir;Black/grey;;0;0.15;"Lutte contre les îlots de chaleurs Urbains, 2010, Grand Lyon

Anthony Vajou";0.94;"Quantifying how landscape composition and configuration affect urban land surface temperatures using machine learning and neutral landscapes, 2019, Osborne Alvares-Sanches

Table of Emissivity of various surfaces, Transmetra";2083000;Cenk Tezimel, 2003 _ sciencedirect.com;2;Basé sur  béton armé : Masse Volumique et conductivité thermique des principaux matériaux de construction, Espace pour Ingenieur (EPI.com);0.2;0;0.95;Wiki Egis;0;ADEME & Berlin city (+tree correction);1;2;
CC6;Bitominous mix;Enrobé bitumineux rouge/brun;Red;;0;0.31;Variante du matériau;0.94;"Quantifying how landscape composition and configuration affect urban land surface temperatures using machine learning and neutral landscapes, 2019, Osborne Alvares-Sanches

Table of Emissivity of various surfaces, Transmetra";2083000;Cenk Tezimel, 2003 _ sciencedirect.com;2;Basé sur  béton armé : Masse Volumique et conductivité thermique des principaux matériaux de construction, Espace pour Ingenieur (EPI.com);0.2;0;0.95;Wiki Egis;0;ADEME & Berlin city (+tree correction);1;2;
CC7;Bitominous mix;Enrobé bitumineux beige/blanc;Beige/white;;0;0.45;Variante du matériau;0.94;"Quantifying how landscape composition and configuration affect urban land surface temperatures using machine learning and neutral landscapes, 2019, Osborne Alvares-Sanches

Table of Emissivity of various surfaces, Transmetra";2083000;Cenk Tezimel, 2003 _ sciencedirect.com;2;Basé sur  béton armé : Masse Volumique et conductivité thermique des principaux matériaux de construction, Espace pour Ingenieur (EPI.com);0.2;0;0.95;Wiki Egis;0;ADEME & Berlin city (+tree correction);1;2;
